BMPimage (1);0.748;0.93;139.511;54.252;26.685;30.787
BMPimage (10);0.838;0.899;83.581;54.453;28.91;30.771
BMPimage (11);0.748;0.917;193.457;66.304;25.265;29.915
BMPimage (12);0.788;0.915;88.89;54.512;28.642;30.766
BMPimage (13);0.791;0.88;84.35;58.414;28.87;30.466
BMPimage (14);0.714;0.946;96.009;19.338;28.308;35.267
BMPimage (15);0.683;0.864;146.823;44.312;26.463;31.666
BMPimage (16);0.786;0.943;86.21;20.603;28.775;34.991
BMPimage (17);0.671;0.927;207.584;48.756;24.959;31.251
BMPimage (18);0.726;0.918;97.28;29.791;28.251;33.39
BMPimage (19);0.601;0.951;135.048;21.931;26.826;34.72
BMPimage (2);0.831;0.906;114.868;61.067;27.529;30.273
BMPimage (20);0.519;0.93;290.486;54.476;23.5;30.769
BMPimage (21);0.701;0.91;198.112;45.295;25.162;31.57
BMPimage (22);0.799;0.952;77.746;18.723;29.224;35.407
BMPimage (23);0.824;0.875;69.31;67.105;29.723;29.863
BMPimage (24);0.855;0.9;63.129;69.47;30.129;29.713
BMPimage (25);0.714;0.926;192.102;44.305;25.295;31.666
BMPimage (26);0.979;0.951;33.82;63.357;32.839;30.113
BMPimage (27);0.901;0.939;42.522;49.966;31.845;31.144
BMPimage (28);0.684;0.941;211.932;50.413;24.869;31.105
BMPimage (29);0.639;0.948;96.861;17.041;28.269;35.816
BMPimage (3);0.8;0.95;57.859;25.107;30.507;34.133
BMPimage (30);0.733;0.94;103.617;33.224;27.976;32.916
BMPimage (31);0.786;0.932;106.74;36.061;27.848;32.56
BMPimage (32);0.591;0.953;257.906;37.175;24.016;32.428
BMPimage (33);0.596;0.953;171.072;16.453;25.799;35.968
BMPimage (34);0.726;0.946;188.625;39.805;25.375;32.131
BMPimage (35);0.799;0.932;83.617;29.753;28.908;33.396
BMPimage (36);0.671;0.946;100.293;17.14;28.118;35.791
BMPimage (37);0.824;0.927;48.253;26.937;31.296;33.827
BMPimage (38);0.896;0.909;36.595;24.173;32.497;34.297
BMPimage (39);0.858;0.869;72.647;78.911;29.519;29.159
BMPimage (4);0.683;0.958;97.355;25.848;28.247;34.007
BMPimage (40);0.843;0.905;46.984;34.847;31.411;32.709
BMPimage (41);0.858;0.957;40.025;23.054;32.107;34.503
BMPimage (42);0.863;0.868;110.416;94.81;27.7;28.362
BMPimage (43);0.787;0.894;147.242;76.516;26.45;29.293
BMPimage (44);0.764;0.941;113.504;42.175;27.581;31.88
BMPimage (45);0.922;0.894;20.571;58.111;34.998;30.488
BMPimage (46);0.749;0.925;95.976;14.397;28.309;36.548
BMPimage (47);0.825;0.863;58.086;30.806;30.49;33.244
BMPimage (48);0.742;0.965;58.924;13.864;30.428;36.712
BMPimage (49);0.796;0.927;64.286;25.165;30.05;34.123
BMPimage (5);0.828;0.935;98.283;54.816;28.206;30.742
BMPimage (50);0.745;0.914;93.781;40.971;28.41;32.006
BMPimage (51);0.869;0.892;78.781;59.925;29.167;30.355
BMPimage (52);0.926;0.923;25.313;24.017;34.097;34.326
BMPimage (53);0.896;0.924;24.429;10.557;34.252;37.896
BMPimage (54);0.757;0.935;83.946;23.493;28.891;34.421
BMPimage (55);0.766;0.886;112.593;66.409;27.616;29.909
BMPimage (56);0.882;0.887;72.214;85.878;29.545;28.792
BMPimage (57);0.863;0.922;38.845;45.66;32.237;31.535
BMPimage (6);0.735;0.925;190.706;57.2;25.327;30.557
BMPimage (7);0.711;0.942;99.03;23.921;28.173;34.343
BMPimage (8);0.83;0.95;57.91;17.606;30.503;35.674
BMPimage (9);0.791;0.916;71.768;43.325;29.571;31.763
BMPimage (59);0.699;0.959;70.28;16.495;29.663;35.957
BMPimage (60);0.824;0.868;163.448;110.882;25.997;27.682
BMPimage (61);0.727;0.931;75.556;31.342;29.348;33.169
BMPimage (62);0.884;0.9;59.472;56.474;30.388;30.612
BMPimage (63);0.709;0.955;83.608;18.55;28.908;35.447
BMPimage (64);0.918;0.868;79.766;111.37;29.113;27.663
BMPimage (65);0.696;0.92;137.932;58.859;26.734;30.433
BMPimage;0.725;0.934;72.914;22.471;29.503;34.615
BMPimage (58);0.749;0.925;81.183;37.204;29.036;32.425
