Polydyr (1);0.927;0.956;16.475;28.11;35.963;33.642
Polydyr (10);0.93;0.972;44.472;25.303;31.65;34.099
Polydyr (11);0.844;0.959;26.675;31.945;33.87;33.087
Polydyr (12);0.908;0.963;36.718;31.001;32.482;33.217
Polydyr (13);0.845;0.959;26.848;31.945;33.842;33.087
Polydyr (14);0.914;0.963;35.786;31.001;32.594;33.217
Polydyr (15);0.829;0.972;136.084;41.852;26.793;31.914
Polydyr (16);0.923;0.964;24.637;46.422;34.215;31.464
Polydyr (17);0.926;0.971;17.838;29.96;35.617;33.365
Polydyr (18);0.891;0.966;72.768;38.71;29.511;32.253
Polydyr (19);0.928;0.971;17.166;18.705;35.784;35.411
Polydyr (2);0.894;0.956;39.151;28.02;32.203;33.656
Polydyr (20);0.839;0.967;75.547;63.242;29.349;30.121
Polydyr (21);0.932;0.967;48.684;40.301;31.257;32.078
Polydyr (22);0.883;0.961;29.011;26.168;33.505;33.953
Polydyr (23);0.916;0.953;16.464;36.51;35.965;32.507
Polydyr (24);0.963;0.949;11.372;31.848;37.573;33.1
Polydyr (25);0.903;0.972;41.385;35.715;31.962;32.602
Polydyr (26);0.898;0.966;137.104;75.18;26.76;29.37
Polydyr (27);0.853;0.956;59.069;52.026;30.417;30.969
Polydyr (28);0.907;0.982;25.559;31.183;34.055;33.192
Polydyr (29);0.914;0.967;31.64;33.239;33.128;32.914
Polydyr (3);0.97;0.982;23.961;45.664;34.336;31.535
Polydyr (30);0.913;0.971;42.207;36.002;31.877;32.567
Polydyr (31);0.968;0.965;10.869;28.694;37.769;33.553
Polydyr (32);0.841;0.957;71.984;52.555;29.558;30.925
Polydyr (33);0.892;0.975;39.567;35.228;32.157;32.662
Polydyr (34);0.864;0.965;138.453;56.485;26.718;30.611
Polydyr (35);0.886;0.974;34.541;19.301;32.747;35.275
Polydyr (36);0.908;0.965;22.176;30.747;34.672;33.253
Polydyr (37);0.905;0.97;26.199;17.729;33.948;35.644
Polydyr (38);0.888;0.978;40.426;28.543;32.064;33.576
Polydyr (39);0.811;0.972;33.609;27.867;32.866;33.68
Polydyr (4);0.834;0.948;65.632;48.878;29.96;31.24
Polydyr (40);0.887;0.964;36.2;45.168;32.544;31.583
Polydyr (41);0.908;0.962;54.59;31.059;30.76;33.209
Polydyr (42);0.92;0.969;35.743;29.694;32.599;33.404
Polydyr (43);0.786;0.959;77.18;45.282;29.256;31.572
Polydyr (44);0.883;0.969;30.988;32.206;33.219;33.051
Polydyr (45);0.78;0.966;169.854;78.366;25.83;29.19
Polydyr (46);0.958;0.972;28.322;30.333;33.61;33.312
Polydyr (47);0.959;0.981;27.994;25.054;33.66;34.142
Polydyr (48);0.851;0.961;140.68;107.854;26.648;27.802
Polydyr (49);0.845;0.977;19.704;14.176;35.185;36.615
Polydyr (5);0.89;0.966;51.243;26.683;31.034;33.868
Polydyr (50);0.969;0.958;15.591;29.271;36.202;33.466
Polydyr (51);0.972;0.967;15.015;24.094;36.366;34.312
Polydyr (52);0.937;0.951;21.564;40.864;34.794;32.017
Polydyr (53);0.869;0.967;36.391;67.316;32.521;29.85
Polydyr (54);0.729;0.957;178.835;94.903;25.606;28.358
Polydyr (55);0.806;0.957;270.572;103.954;23.808;27.962
Polydyr (56);0.901;0.963;25.727;25.04;34.027;34.144
Polydyr (57);0.862;0.977;28.909;26.99;33.521;33.819
Polydyr (58);0.89;0.97;289.693;62.145;23.511;30.197
Polydyr (59);0.741;0.971;75.25;28.937;29.366;33.516
Polydyr (6);0.939;0.977;51.399;53.888;31.021;30.816
Polydyr (60);0.873;0.962;27.354;21.678;33.761;34.771
Polydyr (61);0.911;0.961;36.066;44.97;32.56;31.602
Polydyr (62);0.939;0.976;28.659;24.68;33.558;34.207
Polydyr (63);0.883;0.947;42.378;51.005;31.859;31.055
Polydyr (64);0.905;0.969;35.446;33.702;32.635;32.854
Polydyr (65);0.924;0.976;45.462;21.454;31.554;34.816
Polydyr (66);0.915;0.963;25.255;32.268;34.107;33.043
Polydyr (67);0.914;0.951;35.057;61.376;32.683;30.251
Polydyr (68);0.894;0.954;42.995;27.897;31.797;33.675
Polydyr (69);0.831;0.953;43.823;37.513;31.714;32.389
Polydyr (7);0.854;0.97;36.289;40.481;32.533;32.058
Polydyr (70);0.917;0.965;36.775;37.546;32.475;32.385
Polydyr (8);0.942;0.974;19.676;41.687;35.191;31.931
Polydyr (9);0.86;0.973;45.373;34.281;31.563;32.78
